a,anh
ae,anh em
b,bạn
bjo,bao giờ
bg,bao giờ
bn,bao nhiêu
bh,bây giờ
bik,biết
bjk,biết
bth,bình thường
bthg,bình thường
bt,bình thường
cf,cà phê
caphe,cà phê
c,chị
ce,chị em
ct,chia tay
ck,chồng
cn,chủ nhật
chs,chưa
cb,chuẩn bị
chug,chung
cty,công ty
cx,cũng
cũg,cũng
đg,đang
đk,đăng ký
dt,điện thoại
đt,điện thoại
dc,được
đc,được
dk,được
e,em
fb,facebook
j,gì
gv,giáo viên
g,giờ
h,giờ
hn,hà nội
hcm,hồ chí minh
hs,hơi
hnao,hôm nào
hnay,hôm nay
hqua,hôm qua
hq,hôm qua
hok,không
k,không
kg,không
khum,không
ko,không
kh,không
kbh,không bao giờ
kb,không biết
kgian,không gian
kp,không phải
ksao,không sao
lm,làm
m,mình
mk,mình
mìn,mình
mìh,mình
ms,mới
mn,mọi người
mng,mọi người
ng,người
ny,người yêu
nt,nhắn tin
nv,nhân viên
nhìu,nhiều
ntn,như thế nào
nz,như vậy
nh,nhưng
nhg,nhưng
nma,nhưng mà
n,nó
ns,nói
nch,nói chung
nc,nói chuyện
nx,nữa
p,phải
pvu,phục vụ
ph,phút
qá,quá
qlai,quay lại
r,rồi
rùi,rồi
sg,sài gòn
s,sao
sz,sao vậy
sn,sinh nhật
sv,sinh viên
sdt,số điện thoại
sđt,số điện thoại
tp,thành phố
thik,thích
thíc,thích
tg,thời gian
tt,tiếp tục
tn,tin nhắn
t,tôi
trog,trong
tb,trung bình
trc,trước
trg,trường
v,vậy
z,vậy
vn,việt nam
vk,vợ
vs,với
wf,wifi
xl,xin lỗi
xog,xong
iu,yêu
iêu,yêu